Id,Label,Synonyms,Annotation: alternative label,Annotation: preferred label,Incoming: subClassOf,Outgoing: Subclass Of,Outgoing: hierarchicalAncestors,Outgoing: hierarchicalChildren,Outgoing: hierarchicalDescendants
SNOMED_62872008,Structure of anterior commissure,,Anterior commissure,Structure of anterior commissure,Entire anterior commissure,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_89202009,Structure of superior longitudinal fasciculus,,Arcuate fasciculus ; Superior longitudinal fasciculus,Structure of superior longitudinal fasciculus,Entire superior longitudinal fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_9000002,Cerebellar peduncle structure,,Cerebellar peduncle,Cerebellar peduncle structure,Inferior cerebellar peduncle structure ; Cerebellar fasciculus uncinatus ; Entire cerebellar peduncle ; Structure of middle cerebellar peduncle ; Inner cerebellar funiculus ; Structure of superior cerebellar peduncle,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_36159002,Cerebral peduncle structure,,Basis pedunculi ; Cerebral peduncle ; Crus cerebri,Cerebral peduncle structure,Structure of tegmentum of midbrain ; Entire cerebral peduncle,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_37035000,Structure of cerebral cingulum,,Cingulate fasciculus ; Cingulum ; Structure of cingulum,Structure of cerebral cingulum,Entire cerebral cingulum,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_88442005,Corpus callosum structure,,CC - Corpus callosum ; Corpus callosum,Corpus callosum structure,Corpus callosum part ; Entire corpus callosum,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_16746009,Structure of corticopontine tract of pons,,Corticopontine tract of pons,Structure of corticopontine tract of pons,Entire corticopontine tract of pons,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_1296738007,Structure of corticospinal tract,,Corticospinal tract,Structure of corticospinal tract,Corticospinal tract of internal capsule ; Structure of lateral corticospinal tract ; Structure of spinal ventral corticospinal tract ; Corticospinal tract in brainstem ; Entire corticospinal tract,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_279300007,External capsule,,Structure of external capsule,External capsule,Entire external capsule,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_84013004,Structure of extreme capsule,,Extreme capsule,Structure of extreme capsule,Entire extreme capsule,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_42932006,Structure of forceps minor,,Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum,Structure of forceps minor,Entire forceps minor,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_80049006,Structure of forceps major,,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps,Structure of forceps major,Entire forceps major,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_87463005,Cerebral fornix structure,,Fornix,Cerebral fornix structure,Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Entire cerebral fornix ; Structure of hippocampal commissure,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_35664009,Structure of inferior fronto-occipital fasciculus,,Inferior fronto-occipital fasciculus,Structure of inferior fronto-occipital fasciculus,Entire inferior fronto-occipital fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_55233005,Structure of inferior longitudinal fasciculus,,Inferior longitudinal fasciculus ; Temporooccipital fasciculus,Structure of inferior longitudinal fasciculus,Entire inferior longitudinal fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_85637007,Internal capsule structure,,IC - Internal capsule ; Internal capsule ; Internal capsule of brain ; Internal capsule structure of brain,Internal capsule structure,Entire internal capsule ; Part of internal capsule of brain,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_28390009,Medial longitudinal fasciculus structure,,MLF-Medial longitudinal fasciculus ; Medial longitudinal fasciculus,Medial longitudinal fasciculus structure,Structure of pontine portion of medial longitudinal fasciculus ; Entire medial longitudinal fasciculus ; Medulla oblongata medial longitudinal fasciculus structure,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_3960005,Olfactory tract structure,,Olfactory tract,Olfactory tract structure,Structure of olfactory trigone ; Entire olfactory tract ; Olfactory striae ; Olfactory gyrus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_70105001,Structure of optic radiation,,Geniculocalcarine tract ; Optic radiation,Structure of optic radiation,Entire optic radiation,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_13958008,Structure of superior fronto-occipital fasciculus,,Superior fronto-occipital fasciculus,Structure of superior fronto-occipital fasciculus,Entire superior fronto-occipital fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_89202009,Structure of superior longitudinal fasciculus,,Arcuate fasciculus ; Superior longitudinal fasciculus,Structure of superior longitudinal fasciculus,Entire superior longitudinal fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_60105000,Structure of tapetum of corpus callosum,,Tapetum ; Tapetum of corpus callosum,Structure of tapetum of corpus callosum,Entire tapetum of corpus callosum,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_26230003,Structure of uncinate fasciculus,,Frontotemporal fasciculus ; Uncinate fasciculus,Structure of uncinate fasciculus,Entire uncinate fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
SNOMED_80434005,Structure of vertical occipital fasciculus,,Perpendicular fasciculus ; Vertical occipital fasciculus,Structure of vertical occipital fasciculus,Entire vertical occipital fasciculus,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants
