clean_label	Id_snomed	Id_uberon	Label_uberon	Label_snomed	synonyms	Definition	Synonyms_snomed	Annotation: alternative label	Annotation: preferred label	Incoming: subClassOf	Outgoing: Subclass Of	Outgoing: hierarchicalAncestors_snomed	Outgoing: hierarchicalChildren_snomed	Outgoing: hierarchicalDescendants_snomed	Annotation: database_cross_reference	Annotation: depiction	Annotation: editor note	Annotation: external_definition	Annotation: external_ontology_notes	Annotation: homology_notes	Annotation: id	Annotation: present in taxon	IRI	Incoming: BFO 0000051	Incoming: RO 0002005	Incoming: RO 0002433	Incoming: part of	Incoming: rdf-schema#subClassOf	Incoming: results in morphogenesis of	Outgoing: Subclass Of (Is A)	Outgoing: ancestors	Outgoing: branching part of	Outgoing: capable of part of	Outgoing: children	Outgoing: contributes to morphology of	Outgoing: descendants	Outgoing: develops from	Outgoing: hierarchicalAncestors_uberon	Outgoing: hierarchicalChildren_uberon	Outgoing: hierarchicalDescendants_uberon	Outgoing: in anterior side of	Outgoing: in posterior side of	Outgoing: in taxon	Outgoing: innervates	Outgoing: parents	Outgoing: part of	Synonyms_uberon
anterior cingulate cortex		UBERON:0009835	anterior cingulate cortex			The frontal part of the cingulate cortex that resembles a collar form around the corpus callosum. It includes both the ventral and dorsal areas of the cingulate cortex. Wikipedia:File:Gray727.svg.									BIRNLEX:936 ; BTO:0004249 ; FMA:271599 ; Wikipedia:Anterior_cingulate_cortex	http://upload.wikimedia.org/wikipedia/commons/2/22/Gray727_anterior_cingulate_cortex.png					UBERON:0009835		http://purl.obolibrary.org/obo/UBERON_0009835				caudal anterior cingulate cortex ; rostral anterior cingulate cortex ; Brodmann (1909) area 24 ; anterior cingulate gyrus			hierarchicalParents	ancestors		http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002216	children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	ACC
anterior commissure		UBERON:0000935	anterior commissure			A bundle of myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrical parts of the two cerebral hemispheres; it consists of a smaller anterior part (pars anterior commissurae anterioris) and a larger posterior part (pars posterior commissurae anterioris).									BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; UMLS:C0152335 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205	http://upload.wikimedia.org/wikipedia/commons/b/b4/Gray744.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb				In all vertebrates the thin structure that connects the two halves of the telencephalon shows a ridge-like thickening at the basal side known as the anterior commissure.[well established][VHOG]	UBERON:0000935	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0000935			posterior part of anterior commissure ; anterior commissure anterior part	commissura rostral, pars dorsalis ; commissura rostral, pars ventralis ; posterior part of anterior commissure ; anterior commissure anterior part		anterior commissure morphogenesis	hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents		anterior cerebral commissure ; commissura anterior cerebri ; commissura rostralis ; AC ; anterior commissural nucleus ; commissura anterior ; commissura rostral ; paleocortical commissure ; precommisure ; rostral commissure
anterior thalamic radiation		UBERON:0034746	anterior thalamic radiation												DHBA:12043 ; FMA:76976 ; neuronames:1726						UBERON:0034746		http://purl.obolibrary.org/obo/UBERON_0034746							hierarchicalParents	ancestors							hierarchicalAncestors							parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	anterior radiation of thalamus ; anterior thalamic radiation ; radiatio thalami anterior ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiationes thalamicae anteriores
arcuate fasciculus		UBERON:0035937	arcuate fasciculus			The arcuate fasciculus (Latin, curved bundle) is the neural pathway connecting the posterior part of the temporoparietal junction with the frontal cortex in the brain and is now considered as part of the Superior longitudinal fasciculus.									DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063						UBERON:0035937		http://purl.obolibrary.org/obo/UBERON_0035937							hierarchicalParents	ancestors							hierarchicalAncestors							parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	arcuate fascicle ; cerebral arcuate fasciculus ; fasciculus arcuatus ; AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; fibrae arcuatae cerebri
cerebellar peduncle		UBERON:0007416	cerebellar peduncle			Any of the three large paired bundles of nerve fibers that connect the cerebellum to the brain stem.									BAMS:cbp ; EMAPA:35213 ; FMA:272298 ; MA:0002742 ; MBA:752 ; NCIT:C88147 ; SCTID:362417003 ; UMLS:C0228515 ; neuronames:1207						UBERON:0007416		http://purl.obolibrary.org/obo/UBERON_0007416					inferior cerebellar peduncle ; middle cerebellar peduncle ; superior cerebellar peduncle		hierarchicalParents	ancestors			children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cerebellum peduncle
cingulum of brain		UBERON:0003961	cingulum of brain			The white matter fiber bundle that projects from the cingulate gyrus to the entorhinal cortex in the brain.									BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445						UBERON:0003961		http://purl.obolibrary.org/obo/UBERON_0003961					hippocampus cortex cingulum ; temporal cortex cingulum ; cingulate cortex cingulum		hierarchicalParents	ancestors			children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum
entire genu of corpus callosum	SNOMED_279310003			Entire genu of corpus callosum	Entire genu of corpus callosum				Entire genu of corpus callosum		hierarchicalParents	hierarchicalAncestors																																			
entire inferior cerebellar peduncle	SNOMED_362418008			Entire inferior cerebellar peduncle	Entire inferior cerebellar peduncle				Entire inferior cerebellar peduncle		hierarchicalParents	hierarchicalAncestors																																			
entire middle cerebellar peduncle	SNOMED_279219000			Entire middle cerebellar peduncle	Entire middle cerebellar peduncle				Entire middle cerebellar peduncle		hierarchicalParents	hierarchicalAncestors																																			
entire rostrum of corpus callosum	SNOMED_279311004			Entire rostrum of corpus callosum	Entire rostrum of corpus callosum				Entire rostrum of corpus callosum		hierarchicalParents	hierarchicalAncestors																																			
