Id,Label,Synonyms,Annotation: alternative label,Annotation: preferred label,Incoming: subClassOf,Outgoing: Subclass Of,Outgoing: hierarchicalAncestors,Outgoing: hierarchicalChildren,Outgoing: hierarchicalDescendants,clean_label,Abbreviation,Id_snomed,Id_uberon,Label_uberon,Label_snomed,to_merge?,Definition,LLM_definition,Similar Entity,synonyms,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI,Annotation: depiction,Annotation: editor note,Annotation: external_definition,Annotation: external_ontology_notes,Annotation: homology_notes,Annotation: id,Annotation: present in taxon,Incoming: BFO 0000051,Incoming: RO 0002005,Incoming: RO 0002433,Incoming: part of,Incoming: rdf-schema#subClassOf,Incoming: results in morphogenesis of,Outgoing: Subclass Of (Is A),Outgoing: ancestors,Outgoing: branching part of,Outgoing: capable of part of,Outgoing: children,Outgoing: contributes to morphology of,Outgoing: descendants,Outgoing: develops from,Outgoing: in anterior side of,Outgoing: in posterior side of,Outgoing: in taxon,Outgoing: innervates,Outgoing: parents,Outgoing: part of
SNOMED_279311004,Entire rostrum of corpus callosum,,,Entire rostrum of corpus callosum,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_59326000,Structure of rostrum of corpus callosum,,Rostrum of corpus callosum,Structure of rostrum of corpus callosum,Entire rostrum of corpus callosum,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_279310003,Entire genu of corpus callosum,,,Entire genu of corpus callosum,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_70215001,Structure of genu of corpus callosum,,Genu of corpus callosum,Structure of genu of corpus callosum,Entire genu of corpus callosum,hierarchicalParents,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_362355007,Entire splenium of corpus callosum,,,Entire splenium of corpus callosum,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_362418008,Entire inferior cerebellar peduncle,,,Entire inferior cerebellar peduncle,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_279219000,Entire middle cerebellar peduncle,,,Entire middle cerebellar peduncle,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOMED_279218008,Entire superior cerebellar peduncle,,,Entire superior cerebellar peduncle,,hierarchicalParents,hierarchicalAncestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBERON:0003961,cingulum of brain,cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,The white matter fiber bundle that projects from the cingulate gyrus to the entorhinal cortex in the brain.,,,None,BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445,,,http://purl.obolibrary.org/obo/UBERON_0003961,,,,,,UBERON:0003961,,,,,,hippocampus cortex cingulum ; temporal cortex cingulum ; cingulate cortex cingulum,,hierarchicalParents,ancestors,,,children,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433,descendants,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0000935,anterior commissure,anterior cerebral commissure ; commissura anterior cerebri ; commissura rostralis ; AC ; anterior commissural nucleus ; commissura anterior ; commissura rostral ; paleocortical commissure ; precommisure ; rostral commissure,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,A bundle of myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrical parts of the two cerebral hemispheres; it consists of a smaller anterior part (pars anterior commissurae anterioris) and a larger posterior part (pars posterior commissurae anterioris).,,,None,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; UMLS:C0152335 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205,,,http://purl.obolibrary.org/obo/UBERON_0000935,http://upload.wikimedia.org/wikipedia/commons/b/b4/Gray744.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb,,,,In all vertebrates the thin structure that connects the two halves of the telencephalon shows a ridge-like thickening at the basal side known as the anterior commissure.[well established][VHOG],UBERON:0000935,http://purl.obolibrary.org/obo/NCBITaxon_9606,,,posterior part of anterior commissure ; anterior commissure anterior part,"commissura rostral, pars dorsalis ; commissura rostral, pars ventralis ; posterior part of anterior commissure ; anterior commissure anterior part",,anterior commissure morphogenesis,hierarchicalParents,ancestors,,,children,,descendants,,,,,,parents,
UBERON:0034746,anterior thalamic radiation,anterior radiation of thalamus ; anterior thalamic radiation ; radiatio thalami anterior ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiationes thalamicae anteriores,,,,,hierarchicalAncestors,,,,,,,,,,,,,None,DHBA:12043 ; FMA:76976 ; neuronames:1726,,,http://purl.obolibrary.org/obo/UBERON_0034746,,,,,,UBERON:0034746,,,,,,,,hierarchicalParents,ancestors,,,,,,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0035937,arcuate fasciculus,arcuate fascicle ; cerebral arcuate fasciculus ; fasciculus arcuatus ; AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; fibrae arcuatae cerebri,,,,,hierarchicalAncestors,,,,,,,,,,"The arcuate fasciculus (Latin, curved bundle) is the neural pathway connecting the posterior part of the temporoparietal junction with the frontal cortex in the brain and is now considered as part of the Superior longitudinal fasciculus.",,,None,DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063,,,http://purl.obolibrary.org/obo/UBERON_0035937,,,,,,UBERON:0035937,,,,,,,,hierarchicalParents,ancestors,,,,,,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0007416,cerebellar peduncle,cerebellum peduncle,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,Any of the three large paired bundles of nerve fibers that connect the cerebellum to the brain stem.,,,None,BAMS:cbp ; EMAPA:35213 ; FMA:272298 ; MA:0002742 ; MBA:752 ; NCIT:C88147 ; SCTID:362417003 ; UMLS:C0228515 ; neuronames:1207,,,http://purl.obolibrary.org/obo/UBERON_0007416,,,,,,UBERON:0007416,,,,,,inferior cerebellar peduncle ; middle cerebellar peduncle ; superior cerebellar peduncle,,hierarchicalParents,ancestors,,,children,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433,descendants,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0015703,rostrum of corpus callosum,"corpus callosum rostrum ; corpus callosum, rostrum ; rostrum ; rostrum corporis callosi ; rostrum corpus callosi ; rostrum of corpus callosum ; rostrum of the corpus callosum",,,,,hierarchicalAncestors,,,,,,,,,,The part of the corpus callosum that projects posteriorly and inferiorly from the anteriormost genu.,,,None,DHBA:10562 ; FMA:61945 ; HBA:9226 ; MBA:979 ; NCIT:C33496 ; NeuroNamesCNID:175 ; SCTID:279311004 ; UMLS:C0152322 ; Wikipedia:Rostrum_of_corpus_callosum ; neuronames:193,,,http://purl.obolibrary.org/obo/UBERON_0015703,,,,,,UBERON:0015703,,,,,,,,hierarchicalParents,ancestors,,,,,,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
