clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,to_merge?,source_scheme (toolbox),synonyms.1,Incoming: subClassOf,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI
acoustic radiation,SNOMED:410726006,UBERON:0022262,Acoustic radiations structure (body structure),acoustic radiation,AR,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,,TRACULA,Anterior commissure ; Structure of anterior commissure ; commissure anterior,Entire anterior commissure,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; UMLS:C0152335 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205,"commissura rostral, pars dorsalis ; commissura rostral, pars ventralis ; posterior part of anterior commissure ; anterior commissure anterior part",anterior cerebral commissure ; commissura anterior cerebri ; commissura rostralis ; AC ; anterior commissural nucleus ; commissura anterior ; commissura rostral ; paleocortical commissure ; precommisure ; rostral commissure,http://purl.obolibrary.org/obo/UBERON_0000935
anterior commissure,SNOMED:62872008,"UBERON:0003039, UBERON:0003043",Structure of anterior commissure (body structure),anterior commissure,AC ; ACOMM,Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres,,TRACULA,,,DHBA:12043 ; FMA:76976 ; neuronames:1726,,anterior radiation of thalamus ; anterior thalamic radiation ; radiatio thalami anterior ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiationes thalamicae anteriores,http://purl.obolibrary.org/obo/UBERON_0034746
anterior thalamic radiation,n/a,UBERON:0034746,,anterior thalamic radiation,ATR,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,,"AFQ, ICBM-DTI-81",,,DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063,,arcuate fascicle ; cerebral arcuate fasciculus ; fasciculus arcuatus ; AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; fibrae arcuatae cerebri,http://purl.obolibrary.org/obo/UBERON_0035937
arcuate fasciculus,n/a,UBERON:0035937,,arcuate fasciculus,AF ; AR,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,,AFQ,Cerebellar peduncle ; Cerebellar peduncle structure,Inferior cerebellar peduncle structure ; Cerebellar fasciculus uncinatus ; Entire cerebellar peduncle ; Structure of middle cerebellar peduncle ; Inner cerebellar funiculus ; Structure of superior cerebellar peduncle,BAMS:cbp ; EMAPA:35213 ; FMA:272298 ; MA:0002742 ; MBA:752 ; NCIT:C88147 ; SCTID:362417003 ; UMLS:C0228515 ; neuronames:1207,,cerebellum peduncle,http://purl.obolibrary.org/obo/UBERON_0007416
callosum forceps major,SNOMED:80049006,UBERON:0034676,Structure of forceps major (body structure),forceps major of corpus callosum,FMA ; FMAJ,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,,AFQ,Cingulate fasciculus ; Cingulum ; Structure of cingulum ; Structure of cerebral cingulum,Entire cerebral cingulum,,,,
callosum forceps minor,SNOMED:42932006,UBERON:0034678,Structure of forceps minor (body structure),callosum forceps minor,FMI ; FMIJ,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,B,AFQ,Fornix ; Cerebral fornix structure,Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Entire cerebral fornix ; Structure of hippocampal commissure,,,,
cingulum,SNOMED:37035000,UBERON:0003961,Structure of cerebral cingulum (body structure),cingulum of brain,CCG ; CG,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,B,TractSeg,Basis pedunculi ; Cerebral peduncle ; Crus cerebri ; Cerebral peduncle structure,Structure of tegmentum of midbrain ; Entire cerebral peduncle,BAMS:cpd ; BIRNLEX:1202 ; BM:CP ; BTO:0004676 ; EFO:0001987 ; FMA:62394 ; MBA:924 ; MESH:D065850 ; NCIT:C32291 ; SCTID:362391000 ; UMLS:C0007793 ; Wikipedia:Cerebral_peduncle ; neuronames:487,medial lemniscus of midbrain ; cerebral crus,CP ; cerebral peduncle ; peduncle of midbrain ; pedunculus cerebri ; cerebal peduncle ; cerebral peduncle (archaic) ; pedunculi cerebri ; pedunculus cerebralis ; pedunculus cerebri ; tegmentum,http://purl.obolibrary.org/obo/UBERON_0002623
cingulum bundle dorsal,n/a,n/a,,,CBD,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,,TRACULA,cingulate gyrus,,BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445,,cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum,http://purl.obolibrary.org/obo/UBERON_0003961
cingulum bundle ventral,n/a,n/a,,,CBV,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,,TRACULA,,,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446,posterior corona radiata ; superior corona radiata ; anterior corona radiata,corona radiata,http://purl.obolibrary.org/obo/UBERON_0004682
cingulum cingulate,n/a,n/a,,,CCg,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,,"AFQ, ICBM-DTI-81",CC - Corpus callosum ; Corpus callosum ; Corpus callosum structure,Corpus callosum part ; Entire corpus callosum,BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; UMLS:C0010090 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191,radiation of corpus callosum ; forceps minor of corpus callosum ; splenium of the corpus callosum ; genu of corpus callosum ; body of corpus callosum ; rostrum of corpus callosum ; tapetum of corpus callosum,,http://purl.obolibrary.org/obo/UBERON_0002336
