clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,to_merge?,source_scheme (toolbox),synonyms.1,Incoming: subClassOf,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI
acoustic radiation,SNOMED:410726006,UBERON:0022262,Acoustic radiations,auditory radiation,Acoustic radiations ; Auditory radiations ; Fibrae geniculotemporales ; Geniculotemporal tract ; Radiatio acustica ; Acoustic radiations structure,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,,TRACULA; MGH_HCP,Anterior commissure ; Structure of anterior commissure ; commissure anterior,Auditory radiation ; Entire anterior commissure,DHBA:266441583 ; FMA:62413 ; HBA:265504974 ; Wikipedia:Acoustic_radiation ; neuronames:2084,"commissura rostral, pars dorsalis ; commissura rostral, pars ventralis ; posterior part of anterior commissure ; anterior commissure anterior part",acoustic radiation ; auditory radiation ; auditory radiations ; geniculotemporal radiation ; geniculotemporal tract ; radiatio acustica,http://purl.obolibrary.org/obo/UBERON_0022262
anterior commissure,SNOMED:62872008,UBERON:0000935,anterior commissure,anterior commissure,Anterior commissure ; Structure of anterior commissure,Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres,,TRACULA; MGH_HCP; Bullock_2022,,Entire anterior commissure,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205 ; UMLS:C0152335,"anterior commissure anterior part ; posterior part of anterior commissure ; commissura rostral, pars ventralis ; commissura rostral, pars dorsalis",commissura rostral ; commissura rostralis ; AC ; anterior cerebral commissure ; anterior commissural nucleus ; commissura anterior cerebri ; commissura anterior ; paleocortical commissure ; precommisure ; rostral commissure,http://purl.obolibrary.org/obo/UBERON_0000935
anterior thalamic radiation,n/a,UBERON:0034746,,anterior thalamic radiation,ATR,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,,AFQ; ICBM-DTI-81; JHU_Tractography,,,DHBA:12043 ; FMA:76976 ; neuronames:1726,,anterior radiation of thalamus ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiatio thalami anterior ; radiationes thalamicae anteriores,http://purl.obolibrary.org/obo/UBERON_0034746
arcuate fasciculus,n/a,UBERON:0035937,,arcuate fasciculus,AF ; AR,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,,AFQ; Bullock_2022; Bullock_2019_Brainlife,Cerebellar peduncle ; Cerebellar peduncle structure,Inferior cerebellar peduncle structure ; Cerebellar fasciculus uncinatus ; Entire cerebellar peduncle ; Structure of middle cerebellar peduncle ; Inner cerebellar funiculus ; Structure of superior cerebellar peduncle,DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063,,AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; cerebral arcuate fasciculus ; fasciculus arcuatus ; fibrae arcuatae cerebri,http://purl.obolibrary.org/obo/UBERON_0035937
callosum forceps major,SNOMED:80049006,UBERON:0034676,forceps major,forceps major of corpus callosum,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,,AFQ; JHU_Tractography,Cingulate fasciculus ; Cingulum ; Structure of cingulum ; Structure of cerebral cingulum,Entire cerebral cingulum ; Entire forceps major,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197,,ccs-ma ; corpus callosum ; forceps major ; corpus callosum ; posterior forceps (Arnold) ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; forceps major ; forceps occipitalis ; major forceps ; occipital forceps ; posterior forceps of corpus callosum ; posterior forceps of the corpus callosum ; posterior forceps,http://purl.obolibrary.org/obo/UBERON_0034676
callosum forceps minor,SNOMED:42932006,UBERON:0034678,forceps minor,forceps minor of corpus callosum,Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,B,AFQ; JHU_Tractography,Fornix ; Cerebral fornix structure,Entire cerebral fornix ; Entire forceps minor ; Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Structure of hippocampal commissure,DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192,,anterior forceps of corpus callosum ; anterior forceps of the corpus callosum ; anterior forceps ; corpus callosum ; anterior forceps (Arnold) ; corpus callosum ; anterior forceps ; corpus callosum ; forceps minor ; forceps frontalis ; forceps minor corporis callosi ; forceps minor of corpus callosum ; forceps minor of the corpus callosum ; forceps minor ; frontal forceps ; minor forceps,http://purl.obolibrary.org/obo/UBERON_0034678
cingulum,SNOMED:37035000,UBERON:0003961,cerebral cingulum,cingulum of brain,Cingulate fasciculus ; Cingulum ; Structure of cingulum ; Structure of cerebral cingulum,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,B,TractSeg; ICBM-DTI-81; Bullock_2022,Basis pedunculi ; Cerebral peduncle ; Crus cerebri ; Cerebral peduncle structure,Entire cerebral cingulum ; Entire cerebral peduncle ; Structure of tegmentum of midbrain ; cingulate cortex cingulum ; hippocampus cortex cingulum ; temporal cortex cingulum,BAMS:cg ; DHBA:10572 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445 ; EMAPA:37828,medial lemniscus of midbrain ; cerebral crus,cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum,http://purl.obolibrary.org/obo/UBERON_0003961
cingulum bundle dorsal,n/a,n/a,,,CBD,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,,TRACULA; MGH_HCP; Bullock_2022,cingulate gyrus,,BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445,,cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum,http://purl.obolibrary.org/obo/UBERON_0003961
cingulum bundle ventral,n/a,n/a,,,CBV,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,,TRACULA; MGH_HCP; Bullock_2022,,,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446,posterior corona radiata ; superior corona radiata ; anterior corona radiata,corona radiata,http://purl.obolibrary.org/obo/UBERON_0004682
cingulum cingulate,n/a,n/a,,,CCg,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,,AFQ; ICBM-DTI-81; Bullock_2022,CC - Corpus callosum ; Corpus callosum ; Corpus callosum structure,Corpus callosum part ; Entire corpus callosum,BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; UMLS:C0010090 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191,radiation of corpus callosum ; forceps minor of corpus callosum ; splenium of the corpus callosum ; genu of corpus callosum ; body of corpus callosum ; rostrum of corpus callosum ; tapetum of corpus callosum,,http://purl.obolibrary.org/obo/UBERON_0002336
