clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,source_scheme (toolbox),Annotation: database_cross_reference
acoustic radiation,SNOMED:410726006,UBERON:0022262,Acoustic radiations,auditory radiation,Acoustic radiations ; Acoustic radiations structure ; Auditory radiations ; Fibrae geniculotemporales ; Geniculotemporal tract ; Radiatio acustica,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,TRACULA ; MGH_HCP ; XTRACT,DHBA:266441583 ; FMA:62413 ; HBA:265504974 ; Wikipedia:Acoustic_radiation ; neuronames:2084
anterior commissure,SNOMED:62872008,UBERON:0000935,anterior commissure,anterior commissure,Anterior commissure ; Structure of anterior commissure,Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205 ; UMLS:C0152335
anterior thalamic radiation,n/a,UBERON:0034746,,anterior thalamic radiation,ATR,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; XTRACT,DHBA:12043 ; FMA:76976 ; neuronames:1726
arcuate fasciculus,n/a,UBERON:0035937,,arcuate fasciculus,AF ; AR,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,AFQ ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063
callosum forceps major,SNOMED:80049006,UBERON:0034676,forceps major,forceps major of corpus callosum,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,AFQ ; JHU_Tractography ; XTRACT,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197
callosum forceps minor,SNOMED:42932006,UBERON:0034678,forceps minor,forceps minor of corpus callosum,Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,AFQ ; JHU_Tractography ; XTRACT,DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192
cingulum,SNOMED:37035000,UBERON:0003961,cerebral cingulum,cingulum of brain,Cingulate fasciculus ; Cingulum ; Structure of cerebral cingulum ; Structure of cingulum,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,TractSeg ; ICBM-DTI-81 ; Bullock_2022,BAMS:cg ; DHBA:10572 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445 ; EMAPA:37828
cingulum bundle dorsal,n/a,n/a,,,CBD,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT,BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445
cingulum bundle ventral,n/a,n/a,,,CBV,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,TRACULA ; MGH_HCP ; Bullock_2022,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446
cingulum cingulate,n/a,n/a,,,CCg,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,AFQ ; ICBM-DTI-81 ; Bullock_2022,BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; UMLS:C0010090 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191
