clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,Definition,synonyms,source
acoustic radiation,SNOMED:410726006,UBERON:0022262,Acoustic radiations,auditory radiation,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,Acoustic radiations ; Acoustic radiations structure ; Auditory radiations ; Fibrae geniculotemporales ; Geniculotemporal tract ; Radiatio acustica,TRACULA ; MGH_HCP ; XTRACT
anterior commissure,SNOMED:62872008,UBERON:0000935,anterior commissure,anterior commissure,"Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",Anterior commissure ; Structure of anterior commissure ; commissure anterior,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT ; TractSeg
anterior thalamic radiation,,UBERON:0034746,,anterior thalamic radiation,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,ATR,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; XTRACT
arcuate fasciculus,,UBERON:0035937,,arcuate fasciculus,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,AF ; AR,AFQ ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT
callosum forceps major,SNOMED:80049006,UBERON:0034676,forceps major,forceps major of corpus callosum,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major,AFQ ; JHU_Tractography ; XTRACT
callosum forceps minor,SNOMED:42932006,UBERON:0034678,forceps minor,forceps minor of corpus callosum,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor,AFQ ; JHU_Tractography ; XTRACT
cingulum,SNOMED:37035000,UBERON:0003961,cerebral cingulum,cingulum of brain,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,Cingulate fasciculus ; Cingulum ; Structure of cerebral cingulum ; Structure of cingulum,TractSeg ; ICBM-DTI-81 ; Bullock_2022
cingulum bundle dorsal,,,,,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,CBD,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT
cingulum bundle ventral,,,,,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,CBV,TRACULA ; MGH_HCP ; Bullock_2022
cingulum cingulate,,,,,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,CCg,AFQ ; ICBM-DTI-81 ; Bullock_2022
cingulum hippocampus,,,,,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,CHippo,AFQ ; ICBM-DTI-81 ; Bullock_2022
cingulum subgenual,,,,,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",CBS ; SCB,Bullock_2022
cingulum periGenual,,,,,The peri-genual subsection of the cingulum bundle curving around the genu of the corpus callosum; connects the subgenual and anterior cingulate cortex with the orbitofrontal cortex and anterior thalamic nuclei. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Overlaps anatomically with the subgenual cingulum; XTRACT defines the boundary by waypoint ROIs at the level of the genu.,CBP,XTRACT
