row	clean_label	source_id	column	old_value	new_value
1	anterior commissure	PREFLIGHT	Id_uberon	UBERON:0003039, UBERON:0003043	UBERON:0000935
45	middle cerebellar peduncle	PREFLIGHT	Id_uberon	UBERON:0002336	UBERON:0002152
36	inferior cerebellar peduncle	PREFLIGHT	Id_uberon	UBERON:0022264	UBERON:0002163
83	posterior thalamic radiation	PREFLIGHT	Id_uberon	UBERON:0022264	UBERON:0034747
38	inferior longitudinal fasciculus	PREFLIGHT	Id_uberon	UBERON:0035937	UBERON:0034743
73	uncinate fasciculus	PREFLIGHT	Id_uberon	UBERON:0000935	UBERON:0003044
31	extreme capsule	PREFLIGHT	Id_uberon	UBERON:0004545	UBERON:0014528
46	medial longitudinal fasciculus	PREFLIGHT	Id_uberon	UBERON:0002309	UBERON:0002794
0	acoustic radiation	SNOMED:410726006	Label_snomed	Acoustic radiations structure (body structure)	Acoustic radiations
0	acoustic radiation	SNOMED:410726006	synonyms	AR	Acoustic radiations ; Auditory radiations ; Fibrae geniculotemporales ; Geniculotemporal tract ; Radiatio acustica ; Acoustic radiations structure
0	acoustic radiation	SNOMED:410726006	Incoming: subClassOf	Entire anterior commissure	Auditory radiation ; Entire anterior commissure
0	acoustic radiation	UBERON:0022262	Label_uberon	acoustic radiation	auditory radiation
0	acoustic radiation	UBERON:0022262	Synonyms_uberon	anterior cerebral commissure ; commissura anterior cerebri ; commissura rostralis ; AC ; anterior commissural nucleus ; commissura anterior ; commissura rostral ; paleocortical commissure ; precommisu	acoustic radiation ; auditory radiation ; auditory radiations ; geniculotemporal radiation ; geniculotemporal tract ; radiatio acustica
0	acoustic radiation	UBERON:0022262	IRI	http://purl.obolibrary.org/obo/UBERON_0000935	http://purl.obolibrary.org/obo/UBERON_0022262
0	acoustic radiation	UBERON:0022262	Annotation: database_cross_reference	BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 	DHBA:266441583 ; FMA:62413 ; HBA:265504974 ; Wikipedia:Acoustic_radiation ; neuronames:2084
1	anterior commissure	SNOMED:62872008	Label_snomed	Structure of anterior commissure (body structure)	anterior commissure
1	anterior commissure	SNOMED:62872008	synonyms	AC ; ACOMM	Anterior commissure ; Structure of anterior commissure
1	anterior commissure	SNOMED:62872008	Incoming: subClassOf		Entire anterior commissure
1	anterior commissure	UBERON:0000935	Synonyms_uberon	anterior radiation of thalamus ; anterior thalamic radiation ; radiatio thalami anterior ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiationes thalamicae anteriores	commissura rostral ; commissura rostralis ; AC ; anterior cerebral commissure ; anterior commissural nucleus ; commissura anterior cerebri ; commissura anterior ; paleocortical commissure ; precommisu
1	anterior commissure	UBERON:0000935	IRI	http://purl.obolibrary.org/obo/UBERON_0034746	http://purl.obolibrary.org/obo/UBERON_0000935
1	anterior commissure	UBERON:0000935	Annotation: database_cross_reference	DHBA:12043 ; FMA:76976 ; neuronames:1726	BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 
1	anterior commissure	UBERON:0000935	Incoming: part of - uberon		anterior commissure anterior part ; posterior part of anterior commissure ; commissura rostral, pars ventralis ; commissura rostral, pars dorsalis
2	anterior thalamic radiation	UBERON:0034746	Synonyms_uberon	arcuate fascicle ; cerebral arcuate fasciculus ; fasciculus arcuatus ; AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; fibrae arcuatae cerebri	anterior radiation of thalamus ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiatio thalami anterior ; radiationes thalamicae anteriores
2	anterior thalamic radiation	UBERON:0034746	IRI	http://purl.obolibrary.org/obo/UBERON_0035937	http://purl.obolibrary.org/obo/UBERON_0034746
2	anterior thalamic radiation	UBERON:0034746	Annotation: database_cross_reference	DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063	DHBA:12043 ; FMA:76976 ; neuronames:1726
3	arcuate fasciculus	UBERON:0035937	Synonyms_uberon	cerebellum peduncle	AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; cerebral arcuate fasciculus ; fasciculus arcuatus ; fibrae arcuatae cerebri
3	arcuate fasciculus	UBERON:0035937	IRI	http://purl.obolibrary.org/obo/UBERON_0007416	http://purl.obolibrary.org/obo/UBERON_0035937
3	arcuate fasciculus	UBERON:0035937	Annotation: database_cross_reference	BAMS:cbp ; EMAPA:35213 ; FMA:272298 ; MA:0002742 ; MBA:752 ; NCIT:C88147 ; SCTID:362417003 ; UMLS:C0228515 ; neuronames:1207	DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063
4	callosum forceps major	SNOMED:80049006	Label_snomed	Structure of forceps major (body structure)	forceps major
4	callosum forceps major	SNOMED:80049006	synonyms	FMA ; FMAJ	Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major
4	callosum forceps major	SNOMED:80049006	Incoming: subClassOf	Entire cerebral cingulum	Entire cerebral cingulum ; Entire forceps major
4	callosum forceps major	UBERON:0034676	Synonyms_uberon		ccs-ma ; corpus callosum, forceps major ; corpus callosum, posterior forceps (Arnold) ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; force
4	callosum forceps major	UBERON:0034676	IRI		http://purl.obolibrary.org/obo/UBERON_0034676
4	callosum forceps major	UBERON:0034676	Annotation: database_cross_reference		DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197
5	callosum forceps minor	SNOMED:42932006	Label_snomed	Structure of forceps minor (body structure)	forceps minor
5	callosum forceps minor	SNOMED:42932006	synonyms	FMI ; FMIJ	Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor
5	callosum forceps minor	SNOMED:42932006	Incoming: subClassOf	Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Entire cerebral fornix ; Structure of hippocampal commissure	Entire cerebral fornix ; Entire forceps minor ; Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Structure of hippocampal commissure
5	callosum forceps minor	UBERON:0034678	Label_uberon	callosum forceps minor	forceps minor of corpus callosum
5	callosum forceps minor	UBERON:0034678	Synonyms_uberon		anterior forceps of corpus callosum ; anterior forceps of the corpus callosum ; anterior forceps ; corpus callosum, anterior forceps (Arnold) ; corpus callosum, anterior forceps ; corpus callosum, for
5	callosum forceps minor	UBERON:0034678	IRI		http://purl.obolibrary.org/obo/UBERON_0034678
5	callosum forceps minor	UBERON:0034678	Annotation: database_cross_reference		DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192
6	cingulum	SNOMED:37035000	Label_snomed	Structure of cerebral cingulum (body structure)	cerebral cingulum
6	cingulum	SNOMED:37035000	synonyms	CCG ; CG	Cingulate fasciculus ; Cingulum ; Structure of cingulum ; Structure of cerebral cingulum
6	cingulum	SNOMED:37035000	Incoming: subClassOf	Structure of tegmentum of midbrain ; Entire cerebral peduncle	Entire cerebral cingulum ; Entire cerebral peduncle ; Structure of tegmentum of midbrain
6	cingulum	UBERON:0003961	Synonyms_uberon	CP ; cerebral peduncle ; peduncle of midbrain ; pedunculus cerebri ; cerebal peduncle ; cerebral peduncle (archaic) ; pedunculi cerebri ; pedunculus cerebralis ; pedunculus cerebri ; tegmentum	cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum
6	cingulum	UBERON:0003961	IRI	http://purl.obolibrary.org/obo/UBERON_0002623	http://purl.obolibrary.org/obo/UBERON_0003961
6	cingulum	UBERON:0003961	Annotation: database_cross_reference	BAMS:cpd ; BIRNLEX:1202 ; BM:CP ; BTO:0004676 ; EFO:0001987 ; FMA:62394 ; MBA:924 ; MESH:D065850 ; NCIT:C32291 ; SCTID:362391000 ; UMLS:C0007793 ; Wikipedia:Cerebral_peduncle ; neuronames:487	BAMS:cg ; DHBA:10572 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445 ; EMAPA:37828
